generic,brand,category,categoryUr,dosageForm,strength,prescription,usesEn,usesUr,sideEn,sideUr,warningEn,warningUr,contraindicationsEn,contraindicationsUr,interactionsEn,interactionsUr,pregnancyEn,pregnancyUr,pediatricEn,pediatricUr,drapRegistrationNo,marketStatus,sourceStatus
Clotrimazole,Canesten,Dermatology,فنگس,,,False,Superficial fungal infections,سطحی fungal infections,Local irritation; burning,مقامی جلن؛ burning,Complete recommended course; diagnosis matters.,مقررہ course مکمل کریں؛ درست diagnosis ضروری۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Miconazole,Daktarin,Dermatology,فنگس,,,False,Superficial fungal infections,سطحی fungal infections,Local irritation,مقامی جلن,Check interactions with oral anticoagulants when relevant.,oral anticoagulants کے ساتھ interactions چیک کریں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Terbinafine,Lamisil,Dermatology,فنگس,,,True,Dermatophyte skin infections; oral use for selected nail infections,dermatophyte skin infections؛ منتخب nail infections,GI symptoms; rash; liver injury risk with oral therapy,معدے کی علامات؛ ریش؛ oral therapy میں liver injury risk,Oral therapy needs appropriate diagnosis and liver-risk review.,oral therapy میں درست diagnosis اور liver-risk review ضروری۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Mupirocin,Bactroban,Dermatology,جلدی bacterial infection,,,True,Localized bacterial skin infections in selected cases,منتخب localized bacterial skin infections,Local burning/irritation,مقامی جلن,Use only for appropriate bacterial indications; avoid unnecessary topical antibiotic use.,صرف مناسب bacterial indication؛ بلا ضرورت topical antibiotic نہ استعمال کریں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Tamsulosin,Flomax,Urology,پروسٹیٹ/پیشاب,,,True,Lower urinary tract symptoms due to BPH,BPH کی وجہ سے urinary symptoms,Dizziness; orthostatic hypotension; ejaculation changes,چکر؛ کھڑے ہونے پر BP کم؛ ejaculation changes,Caution with antihypertensives/PDE5 inhibitors; inform eye surgeon before cataract surgery.,antihypertensives/PDE5 inhibitors کے ساتھ احتیاط؛ cataract surgery سے پہلے بتائیں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Finasteride,Proscar,Urology,پروسٹیٹ,,,True,BPH; androgenic alopecia at different strengths,BPH؛ مخصوص strength پر androgenic alopecia,Sexual dysfunction; decreased libido,sexual dysfunction؛ libido کم,Pregnant people should not handle crushed tablets; PSA interpretation is affected.,حاملہ افراد crushed tablets نہ سنبھالیں؛ PSA interpretation متاثر ہوتی ہے۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Sildenafil,Viagra,Urology,ED,,,True,Erectile dysfunction; selected pulmonary hypertension products,erectile dysfunction؛ منتخب pulmonary hypertension products,Headache; flushing; dyspepsia; visual effects,سر درد؛ چہرہ سرخ؛ بدہضمی؛ نظر میں تبدیلی,Never combine with nitrates; cardiovascular assessment may be needed.,nitrates کے ساتھ ہرگز نہ لیں؛ cardiovascular assessment ضروری ہو سکتی ہے۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Tadalafil,Cialis,Urology,ED,,,True,Erectile dysfunction; BPH; selected pulmonary hypertension products,erectile dysfunction؛ BPH؛ منتخب pulmonary hypertension products,Headache; dyspepsia; back pain,سر درد؛ بدہضمی؛ کمر درد,Never combine with nitrates; consider cardiovascular status.,nitrates کے ساتھ ہرگز نہ لیں؛ cardiovascular status دیکھیں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Doxycycline,Vibramycin,Antibiotics,اینٹی بایوٹکس,,,True,Selected bacterial/infectious indications,منتخب bacterial/infectious indications,GI upset; photosensitivity; esophagitis,معدے کی تکلیف؛ دھوپ سے حساسیت؛ esophagitis,Take with water and remain upright; pregnancy/children restrictions apply depending on indication.,پانی کے ساتھ لیں اور سیدھا بیٹھیں/کھڑے رہیں؛ pregnancy/children میں restrictions۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Clindamycin,Dalacin,Antibiotics,اینٹی بایوٹکس,,,True,Selected serious bacterial/anaerobic infections,منتخب serious bacterial/anaerobic infections,Diarrhea; C. difficile colitis risk,دست؛ C. difficile colitis کا خطرہ,Stop and seek medical advice for significant/persistent diarrhea.,شدید/مسلسل دست میں دوا اور طبی مشورے کی ضرورت۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Nitrofurantoin,Macrobid,Antibiotics,UTI,,,True,Selected uncomplicated lower UTIs,منتخب uncomplicated lower UTI,Nausea; pulmonary/hepatic adverse effects rare,متلی؛ نایاب pulmonary/hepatic adverse effects,Not appropriate for every UTI or pyelonephritis; renal function matters.,ہر UTI یا pyelonephritis کے لیے مناسب نہیں؛ renal function اہم۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Fosfomycin,Monurol,Antibiotics,UTI,,,True,Selected uncomplicated lower UTIs,منتخب uncomplicated lower UTI,Diarrhea; nausea; headache,دست؛ متلی؛ سر درد,Use for appropriate indication; susceptibility/local guidance matters.,مناسب indication؛ susceptibility/local guidance اہم۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Albendazole,Zentel,Antiparasitic,کیڑے,,,False,Treatment of selected intestinal helminth infections,منتخب intestinal helminth infections,Abdominal pain; nausea; headache,پیٹ درد؛ متلی؛ سر درد,Regimen depends on parasite and patient; pregnancy considerations apply.,regimen parasite/patient پر منحصر؛ pregnancy میں احتیاط۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Ivermectin,Stromectol,Antiparasitic,پیراسائٹ,,,True,Selected parasitic infections,منتخب parasitic infections,Dizziness; nausea; rash,چکر؛ متلی؛ ریش,Use only for an appropriate diagnosis and weight/age-based regimen.,درست diagnosis اور weight/age-based regimen ضروری۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Acyclovir,Zovirax,Antiviral,وائرل انفیکشن,,,True,Selected herpesvirus infections,منتخب herpesvirus infections,Nausea; headache; renal toxicity risk with systemic use,متلی؛ سر درد؛ systemic use میں renal toxicity risk,Hydration and renal dosing matter; start early when indicated.,hydration اور renal dosing اہم؛ indication پر جلد شروع کرنا مفید۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Oseltamivir,Tamiflu,Antiviral,فلو,,,True,Treatment/prevention of influenza in selected patients,منتخب مریضوں میں influenza کا علاج/بچاؤ,Nausea; vomiting; headache,متلی؛ الٹی؛ سر درد,Best benefit when started early; indication and local guidance matter.,جلد شروع کرنے پر فائدہ زیادہ؛ indication/local guidance اہم۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Allopurinol,Zyloric,Gout,گاؤٹ,,,True,Urate-lowering therapy for gout/hyperuricemia,gout/hyperuricemia میں urate lowering,Rash; GI upset; rare severe hypersensitivity,ریش؛ معدے کی تکلیف؛ نایاب شدید hypersensitivity,Not for immediate pain relief of an acute attack; start/titrate per guideline.,acute attack کے فوری درد کے لیے نہیں؛ guideline کے مطابق start/titrate۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Febuxostat,Uloric,Gout,گاؤٹ,,,True,Urate-lowering therapy in selected patients,منتخب مریضوں میں urate lowering,Liver enzyme elevation; nausea; rash,liver enzymes بڑھنا؛ متلی؛ ریش,Cardiovascular history and indication should be reviewed.,cardiovascular history اور indication review کریں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Colchicine,Colcrys,Gout,گاؤٹ,,,True,Acute gout treatment/prophylaxis in selected patients,منتخب مریضوں میں acute gout/prophylaxis,Diarrhea; nausea; toxicity in overdose,دست؛ متلی؛ overdose میں toxicity,Narrow therapeutic index; renal/hepatic impairment and interactions are critical.,narrow therapeutic index؛ renal/hepatic impairment اور interactions بہت اہم۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Mesalamine,Pentasa,Gastrointestinal,آنتوں کی سوزش,,,True,Ulcerative colitis in selected patients,منتخب ulcerative colitis patients,Headache; abdominal pain; renal effects rare,سر درد؛ پیٹ درد؛ نایاب renal effects,Monitoring depends on product and duration; diagnosis should be established.,product/duration کے مطابق monitoring؛ diagnosis ضروری۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
ORS,Oral Rehydration Salts,Gastrointestinal,پانی کی کمی,,,False,Rehydration in diarrhea,دست میں rehydration,Minimal when correctly prepared,صحیح preparation پر عموماً کم,Use the exact water volume stated on the sachet.,sachet پر درج پانی کی مقدار ہی استعمال کریں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Chlorpheniramine,Piriton,Allergy,الرجی,,,False,Allergic symptoms,الرجی کی علامات,Drowsiness; dry mouth; blurred vision,غنودگی؛ منہ خشک؛ دھندلا نظر,Sedating antihistamine; caution with driving/alcohol.,غنودگی والی antihistamine؛ driving/alcohol میں احتیاط۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Fexofenadine + Montelukast,Fexet-M,Allergy,الرجی,,,True,Selected allergic rhinitis regimens,منتخب allergic rhinitis regimens,Headache; drowsiness; GI symptoms,سر درد؛ غنودگی؛ معدے کی علامات,Review need for combination therapy and montelukast neuropsychiatric warnings.,combination کی ضرورت اور montelukast neuropsychiatric warnings review کریں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Calamine,Calamine lotion,Dermatology,جلد کی خارش,,,False,Symptomatic relief of itching/irritation,جلد کی خارش/جلن میں symptomatic relief,Dryness; local irritation,خشکی؛ مقامی جلن,For external use; avoid eyes and broken skin.,صرف بیرونی استعمال؛ آنکھوں اور زخمی جلد سے بچائیں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Povidone-Iodine,Betadine,Antiseptic,جراثیم کش,,,False,Topical antisepsis for selected minor wounds/skin preparation,منتخب minor wounds/skin preparation میں topical antisepsis,Irritation; allergy; thyroid effects with extensive use,جلن؛ allergy؛ وسیع استعمال میں thyroid effects,Not a substitute for proper wound care; avoid prolonged extensive use without advice.,زخم کی مناسب care کا متبادل نہیں؛ وسیع/طویل استعمال میں مشورہ۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Curated reference — pharmacist review required
Amlodipine,,Cardiovascular,بلڈ پریشر اور دل,Tablet,,True,Hypertension; selected angina,بلڈ پریشر؛ بعض مریضوں میں انجائنا,Ankle swelling; flushing; headache; dizziness,ٹخنوں کی سوجن؛ گرمی/سرخی؛ سر درد؛ چکر,Use according to the prescribed indication; monitor blood pressure.,مقررہ indication کے مطابق استعمال؛ بلڈ پریشر مانیٹر کریں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Losartan,,Cardiovascular,بلڈ پریشر اور دل,Tablet,,True,Hypertension; selected cardiovascular indications,بلڈ پریشر؛ بعض cardiovascular indications,Dizziness; increased potassium; kidney function changes,چکر؛ potassium میں اضافہ؛ kidney function میں تبدیلی,Avoid in pregnancy; monitor potassium and renal function when appropriate.,حمل میں استعمال نہ کریں؛ مناسب صورت میں potassium اور renal function مانیٹر کریں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Valsartan,,Cardiovascular,بلڈ پریشر اور دل,Tablet,,True,Hypertension; selected heart failure indications,بلڈ پریشر؛ بعض heart-failure indications,Dizziness; increased potassium; kidney function changes,چکر؛ potassium میں اضافہ؛ kidney function میں تبدیلی,Avoid in pregnancy; monitoring may be required.,حمل میں استعمال نہ کریں؛ monitoring کی ضرورت ہو سکتی ہے۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Enalapril,,Cardiovascular,بلڈ پریشر اور دل,Tablet,,True,Hypertension; heart failure,بلڈ پریشر؛ heart failure,Cough; dizziness; increased potassium; angioedema,کھانسی؛ چکر؛ potassium میں اضافہ؛ angioedema,Avoid in pregnancy; seek urgent care for facial/tongue swelling.,حمل میں استعمال نہ کریں؛ چہرے/زبان کی سوجن میں فوری طبی مدد لیں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
Furosemide,,Cardiovascular,بلڈ پریشر اور دل,Tablet/Injection,,True,Edema; selected heart failure/hypertension indications,سوجن؛ بعض heart failure/بلڈ پریشر indications,Dehydration; low electrolytes; dizziness,پانی کی کمی؛ electrolytes کم ہونا؛ چکر,Monitor fluid status and electrolytes when prescribed long term.,طویل استعمال میں fluid status اور electrolytes مانیٹر کریں۔,Check approved product information and patient-specific contraindications before use.,استعمال سے پہلے approved product information اور مریض کی مخصوص contraindications چیک کریں۔,Check the complete medication list for clinically relevant interactions.,تمام استعمال ہونے والی medicines کی فہرست سے clinically relevant interactions چیک کریں۔,Use only after an indication-specific professional assessment.,صرف indication-specific professional assessment کے بعد استعمال کریں۔,"Pediatric use depends on age, weight, indication and formulation; do not infer a dose from this app.",بچوں میں استعمال عمر، وزن، indication اور formulation پر منحصر ہے؛ اس ایپ سے dose اخذ نہ کریں۔,,Verify current Pakistan status,Generic reference — pharmacist/clinical review required
